iter	Passed	Remaining
0	35	3465
1	54	2661
2	73	2360
3	92	2215
4	112	2135
5	131	2055
6	150	2000
7	169	1951
8	188	1907
9	209	1888
10	232	1877
11	251	1845
12	271	1816
13	334	2056
14	408	2314
15	442	2322
16	480	2343
17	522	2382
18	554	2365
19	579	2316
20	607	2283
21	638	2263
22	675	2260
23	721	2284
24	766	2298
25	807	2298
26	843	2280
27	880	2263
28	911	2230
29	943	2201
30	973	2166
31	1002	2130
32	1030	2092
33	1059	2056
34	1088	2021
35	1119	1990
36	1150	1959
37	1181	1928
38	1210	1893
39	1239	1859
40	1272	1830
41	1302	1798
42	1332	1766
43	1361	1733
44	1391	1700
45	1421	1668
46	1452	1638
47	1483	1606
48	1513	1575
49	1545	1545
50	1577	1515
51	1609	1485
52	1640	1455
53	1674	1426
54	1704	1394
55	1737	1365
56	1769	1335
57	1802	1305
58	1833	1274
59	1865	1243
60	1897	1213
61	1927	1181
62	1957	1149
63	1987	1118
64	2019	1087
65	2050	1056
66	2079	1024
67	2109	992
68	2142	962
69	2171	930
70	2201	899
71	2231	867
72	2260	836
73	2292	805
74	2322	774
75	2351	742
76	2382	711
77	2412	680
78	2443	649
79	2473	618
80	2505	587
81	2538	557
82	2568	526
83	2598	494
84	2628	463
85	2659	432
86	2690	402
87	2720	370
88	2751	340
89	2782	309
90	2814	278
91	2847	247
92	2876	216
93	2906	185
94	2935	154
95	2964	123
96	2995	92
97	3027	61
98	3061	30
99	3098	0
