iter	Logloss
0	0.4697242413
1	0.346644602
2	0.2657229062
3	0.2194771695
4	0.1905075363
5	0.1645722671
6	0.1484178295
7	0.1367884747
8	0.1296336426
9	0.1235463158
10	0.1166769071
11	0.111556553
12	0.1072231462
13	0.1017473984
14	0.09642410464
15	0.0918666741
16	0.08813277923
17	0.08463247551
18	0.0793866809
19	0.07610179319
20	0.07401950786
21	0.07226270864
22	0.07011424734
23	0.06744790972
24	0.06599726089
25	0.06497436404
26	0.06208802013
27	0.05970503771
28	0.05789482902
29	0.05649091255
30	0.05498760564
31	0.05377097202
32	0.052274863
33	0.05110251781
34	0.04847738116
35	0.04700996328
36	0.04541331812
37	0.04439089741
38	0.04386390749
39	0.04240283566
40	0.0412238022
41	0.0410198061
42	0.03949290052
43	0.03904308987
44	0.03825080087
45	0.03766031698
46	0.03704971247
47	0.03637883908
48	0.03513402395
49	0.03479702864
50	0.03427695391
51	0.03341904691
52	0.03280262457
53	0.03171690332
54	0.03114364788
55	0.03054709135
56	0.02995202461
57	0.02941447034
58	0.02894269775
59	0.02784965028
60	0.02719516466
61	0.02677660625
62	0.02625875785
63	0.02552428262
64	0.02528697906
65	0.02443377022
66	0.02388348479
67	0.02346414708
68	0.02292301991
69	0.02238469563
70	0.02188359953
71	0.02074818121
72	0.02050422471
73	0.02023505886
74	0.01999145761
75	0.01962251073
76	0.01907490359
77	0.018713136
78	0.01809049222
79	0.01769765094
80	0.01735443606
81	0.01723593494
82	0.01697396697
83	0.01655453255
84	0.01616987492
85	0.01597289816
86	0.01567265861
87	0.01545471868
88	0.01505616559
89	0.01486490251
90	0.01455911574
91	0.01437706578
92	0.0141607226
93	0.014009286
94	0.01386048118
95	0.01357087108
96	0.01304461862
97	0.01291956499
98	0.01269881845
99	0.01238452813
