#Frame        phi:121      psi:121
       1    -104.1306     -10.4721
       2    -104.0666      -5.0531
       3    -113.0320       1.7509
       4    -112.0353      -5.5668
       5    -104.7188     -12.6465
       6    -114.1128     -15.1397
       7    -105.8698     -41.9629
       8     -98.8454     -12.2458
       9    -116.0767     -21.4329
      10    -111.6311      -1.3720
      11    -106.8212      -9.1908
      12    -103.9774     -13.1567
      13    -114.4053     -13.7195
      14    -108.2861     -25.6709
      15    -132.0776     -19.1107
      16    -106.7659     -12.4460
      17     -97.9148      -1.1704
      18    -116.5635      -2.1772
      19    -126.7395     -19.4069
      20    -105.7314      -3.5273
      21     -97.1393      -4.8751
      22    -109.0898      -3.5237
      23    -102.9500      -2.2315
      24    -108.6768      -0.2843
      25    -140.5222       4.8029
      26    -130.5826      -8.2435
      27    -134.3111     -18.4516
      28    -124.2432      -3.7036
      29    -106.2064     -18.5393
      30    -113.0832      -8.3326
      31    -111.4368      -8.3990
      32    -103.6913     -10.5271
      33     -88.0594     -16.3209
      34    -114.8204       6.1830
      35    -113.4253     -13.8720
      36    -127.7908     -12.1457
      37    -107.2699     -16.3204
      38    -107.6986       2.2485
      39    -115.7751       3.5375
      40     -87.3410     -28.0847
      41    -129.6137      -2.9560
      42    -111.4186     -12.6548
      43    -118.9570     -15.7042
      44    -129.4025     -20.1824
      45    -132.5704     -16.0886
      46    -121.7895     -11.0531
      47     -92.7225     -12.3222
      48    -107.2853      -9.2787
      49    -100.9252      -8.1018
      50    -106.4064     -18.2283
      51    -101.8826     -17.7220
      52    -120.9419     -16.4469
      53    -110.2986      -6.3145
      54    -127.8372     -22.7101
      55    -125.6450     -14.3068
      56    -103.4818     -16.5372
      57    -100.9936     -11.7522
      58    -116.5052      -9.3221
      59     -96.4487     -21.6778
      60    -117.0977     -12.6556
      61     -85.2942       0.8696
      62     -92.4881     -12.5146
      63    -131.9182     -21.3698
      64     -98.2666     -16.3753
      65     -80.0741     -12.0024
      66    -118.4530     -21.1406
      67     -90.3420       2.9858
      68    -113.2810      -5.1652
      69    -106.6744      -8.3993
      70    -118.0312      -6.8193
      71     -92.3683     -13.1240
      72    -120.7856     -13.1475
      73    -100.9068     -19.4623
      74    -100.2808     -24.1602
      75    -110.0460     -15.8471
      76    -118.8724      -5.9579
      77    -114.6055     -21.6035
      78    -101.2498     -20.5157
      79     -96.6745     -16.8938
      80    -110.9850     -25.4233
      81    -116.2582     -18.8371
      82    -113.8550     -18.0792
      83    -126.4121     -15.8712
      84    -107.6125     -25.6510
      85     -94.4065      -3.4924
      86    -126.4315      -2.1952
      87     -94.7565     -26.0254
      88     -85.2675      -8.4174
      89    -105.7360     -21.6189
      90    -117.0053      -5.4532
      91    -121.5648     -15.4678
      92     -90.2990     -24.3549
      93    -117.8115     -24.7264
      94    -109.8926      -5.4657
      95    -100.6104     -29.0154
      96     -93.4347     -28.5426
      97    -112.4328     -20.5388
      98    -109.8883     -36.4146
      99    -126.0363      -9.0205
     100    -137.3445      -5.1649
     101    -115.8887      -5.8107
     102     -99.3035      -8.5757
     103     -99.8310     -28.4863
     104    -109.7844     -16.1232
     105    -105.4211      -3.7284
     106    -116.8804     -20.3835
     107    -102.4636     -18.0032
     108    -103.0032     -10.8313
     109    -114.9672     -11.0967
     110    -109.5768       4.4355
     111    -119.0678     -23.7551
     112    -117.6818      -7.9213
     113    -112.1706     -26.9222
     114    -116.7312      -6.3009
     115     -94.3850     -12.1272
     116    -132.8629      -7.8072
     117     -92.9722     -20.5947
     118    -116.9251     -24.9663
     119    -122.2547     -10.4911
     120    -123.0553     -42.0604
     121    -123.2393     -14.3257
     122    -107.2964      -7.3859
     123    -103.3415      -3.3124
     124    -111.7982      -3.2443
     125     -93.7703      -6.6654
     126     -95.0970     -13.5783
     127    -102.0397     -16.6206
     128    -119.7368     -25.6692
     129    -118.9340     -16.8486
     130    -104.1241     -23.5549
     131    -104.8175     -19.1762
     132    -104.3954     -32.6895
     133    -108.5640     -15.0716
     134    -115.1385      -3.3869
     135    -115.3390      -6.5091
     136     -90.1601      -8.5094
     137     -99.5214     -23.2155
     138    -103.8344     -26.3514
     139    -112.1979     -19.3084
     140     -77.7381     -18.5200
     141    -107.0105      -3.0005
     142    -114.7611     -17.3496
     143    -106.5049      12.0995
     144     -97.1452     -13.7352
     145    -108.1864      -1.7512
     146     -92.7134      -5.2166
     147    -108.5189       3.9636
     148    -116.6828     -14.4745
     149    -109.9674      -6.1620
     150    -120.6805      -5.4447
     151    -109.9206       9.0176
     152    -114.3346       7.3919
     153    -107.7263     -16.9754
     154    -109.6586      -3.4622
     155    -134.1924      -1.7271
     156     -91.8026      -9.9122
     157    -120.3007      -4.6404
     158     -96.1257      -6.8559
     159    -107.9221     -15.2789
     160    -116.8803     -13.2387
     161    -117.1485       7.6368
     162    -100.1759     -25.2937
     163    -109.8405       2.7056
     164    -114.1520     -30.2801
     165    -104.4286       5.4993
     166    -116.1579     -11.4343
     167     -81.2527     -12.7793
     168    -123.6078     -11.3348
     169     -87.5758     -13.2919
     170     -83.6322      -0.0507
     171     -98.1506      -7.5582
     172     -77.8077      -7.4289
     173     -98.3815     -11.6087
     174     -83.7441      -2.1955
     175     -81.8276     -23.5816
     176    -117.2124     -20.2697
     177    -111.8133     -17.0471
     178    -113.8510       0.6558
     179    -110.9570      -1.2200
     180    -110.3351      -9.1807
     181    -117.1865     -14.8986
     182    -114.9046      -8.2428
     183    -123.1169     -11.4361
     184    -123.5773      -1.3798
     185    -108.6881      -5.7795
     186    -125.2847      -2.5429
     187    -101.1051     -13.1886
     188    -101.0923      -8.4374
     189    -105.9677     -11.8437
     190    -108.2079       9.2756
     191    -114.7082     -14.0247
     192    -126.4893     -12.0668
     193    -124.3393      13.1558
     194    -109.1040     -10.9679
     195    -112.5313     -11.8337
     196    -117.3553      -6.2898
     197    -104.8619      -6.8464
     198    -115.2548     -13.0715
     199    -115.7607       6.7672
     200     -85.7257      -2.3555
     201    -108.3868       3.1326
     202     -80.2527       5.2460
     203    -119.4563      -2.9308
     204    -103.2041      -1.9930
     205     -98.6787      -6.8989
     206    -106.4725      12.5650
     207    -109.7941      -1.9730
     208    -117.6550     -17.2437
     209    -137.9282      -5.0218
     210    -108.4897       7.7533
     211    -118.7209     -28.8565
     212    -120.8196     -13.5334
     213     -97.9370     -14.9419
     214    -108.7097      -9.2045
     215    -117.8548      13.3080
     216     -97.5668     -20.9170
     217     -87.1830       0.5815
     218    -117.5135       0.1653
     219     -94.1355      -0.0070
     220    -102.0304      -1.2474
     221    -110.2374       2.2622
     222     -97.9074      -1.3601
     223    -105.9067      -2.3786
     224     -97.1790     -10.8438
     225    -108.3643      -4.9081
     226    -106.7449       6.2257
     227    -118.5485      11.9637
     228    -126.6398      16.0736
     229     -91.8845      -1.3087
     230     -90.7506      -4.9501
     231    -106.2532       3.0850
     232    -119.8455     -14.8523
     233    -106.4776      -1.1390
     234    -112.4514     -20.2200
     235     -99.9087       5.0365
     236    -111.9851       5.4219
     237     -98.0072     -14.2282
     238    -106.2748     -10.5480
     239     -89.9684     -19.9561
     240     -98.8277      -4.7292
     241    -116.2426      -7.6893
     242    -117.2507     -22.9158
     243    -104.9373     -10.6919
     244    -122.6238      -0.0515
     245    -118.7992      -2.0604
     246    -118.0002     -11.5259
     247    -128.6529       3.1211
     248    -106.1662     -11.5313
     249    -100.4472      -7.5719
     250    -121.6587       4.9916
     251     -96.8462     -18.4191
     252    -108.3619     -15.0827
